Info,Info,Info,Info,Info,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,Expected,Expected,,,,,,,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,,,,,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
Team,Player,Nation,Pos,Age,MP,Starts,Min,Ast,G-PK,PK,CrdY,CrdR,xG,npxG,xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Mn/MP,Min%,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Fls,Fld,Off,Crs,OG,Recov,Won,Lost,Won%
Ipswich Town,Cameron Humphreys,eng ENG,DF,19,3,1,95.0,1,0,0,0,0,0.0,0.0,0.4,3,4,12,0.00,0.95,0.95,0.00,0.95,0.00,0.38,0.38,0.00,0.38,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.1,0,0,0,,0.00,0.00,,,,0,0,0,,0.0,0.0,64,84,76.2,1030,255,34,40,85.0,27,32,84.4,3,6,50.0,1,0.4,0.1,+0.6,6,4,2,2,4,84,69,15,0,0,0,7,14,1,0,1,0,64,0,2,5,4.74,4,1,0,0,0,0,0,0.00,0,0,0,0,0,0,2,1,1,1,0,2,6,33.3,4,5,0,5,2,4,6,0,102,4,17,47,38,2,102,3,3,100.0,0,0.0,53,203,118,3,3,0,2,0,59,12,32,2.3,1,90,1,2,3,18,1.00,2,0,+2,+1.89,+1.16,1.1,0.6,+0.5,+0.43,-0.16,1,0,1,7,0,3,4,2,66.7
Liverpool,Caoimhín Kelleher,ie IRL,GK,24,10,10,900.0,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11,1.10,38,28,71.1,8,2,0,2,20.0,0,0,0,0,,10.0,0,0,0,,0.00,0.00,,,,0,0,0,,0.0,0.0,359,442,81.2,8077,5323,101,101,100.0,196,198,99.0,62,140,44.3,0,0.0,0.0,0.0,1,9,0,0,1,442,401,38,10,0,0,0,0,0,0,0,0,359,3,0,2,0.20,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,1,457,269,446,11,0,0,457,0,0,,0,,367,1742,1077,0,0,0,0,0,330,0,90,26.3,10,90,10,0,,27,2.60,26,11,+15,+1.50,+0.43,25.7,10.3,+15.4,+1.54,+0.58,0,0,0,0,0,13,4,0,100.0
Southampton,Carlos Alcaraz,ar ARG,"MF,FW",20,23,13,1102.0,1,3,0,4,0,4.4,3.6,1.1,28,78,74,0.25,0.08,0.33,0.25,0.33,0.36,0.09,0.44,0.29,0.38,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12.2,3,40,16,40.0,3.27,1.31,0.08,0.19,19.5,3,0,1,0.09,-1.4,-0.6,508,616,82.5,7850,1771,276,314,87.9,171,202,84.7,42,61,68.9,1,1.1,1.7,-0.1,17,51,23,1,78,616,601,14,5,5,9,5,7,1,0,0,0,508,1,15,47,3.83,36,0,6,3,1,1,4,0.33,4,0,0,0,0,0,29,18,6,15,8,15,28,53.6,13,21,2,19,6,35,14,0,808,19,74,445,301,37,807,47,23,48.9,23,48.9,513,2572,1219,28,28,6,35,17,628,74,48,26.6,13,72,4,10,17,4,2.09,28,13,+15,+1.23,+0.96,21.5,12.5,+9.0,+0.74,+0.09,8,15,3,5,0,60,18,13,58.1
Brighton and Hove Albion,Carlos Baleba,cm CMR,MF,19,27,15,1325.0,0,0,0,7,0,0.8,0.8,0.3,19,50,9,0.00,0.00,0.00,0.00,0.00,0.06,0.02,0.08,0.06,0.08,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14.7,0,21,5,23.8,1.43,0.34,0.00,0.00,24.4,0,0,0,0.04,-0.8,-0.8,713,775,92.0,10618,2185,402,429,93.7,267,278,96.0,24,30,80.0,0,0.3,0.3,-0.3,8,38,3,0,50,775,767,6,6,0,5,0,0,0,0,0,0,713,2,10,17,1.15,16,0,0,1,0,0,1,0.07,1,0,0,0,0,0,40,20,17,19,4,23,46,50.0,23,35,7,28,18,58,30,3,965,65,255,580,139,5,965,22,11,50.0,6,27.3,571,2903,1423,19,19,1,16,16,664,9,49,38.7,15,78,7,12,13,7,1.07,14,28,-14,-0.95,-1.25,16.0,23.5,-7.5,-0.51,-0.89,40,27,0,0,0,95,24,9,72.7
Fulham,Carlos Vinícius,br BRA,FW,28,13,2,315.0,0,2,0,2,0,1.6,1.6,0.8,3,3,13,0.57,0.00,0.57,0.57,0.57,0.46,0.23,0.69,0.46,0.69,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.5,2,9,5,55.6,2.57,1.43,0.22,0.40,10.9,0,0,0,0.18,+0.4,+0.4,46,62,74.2,587,115,28,34,82.4,14,21,66.7,1,1,100.0,0,0.8,0.1,-0.8,5,1,0,0,3,62,61,1,0,0,0,1,0,0,0,0,0,46,0,1,9,2.57,8,0,1,0,0,0,1,0.29,1,0,0,0,0,0,3,2,0,1,2,0,4,0.0,4,4,0,4,0,3,1,0,102,1,11,49,45,15,102,8,2,25.0,6,75.0,66,322,91,3,4,2,11,7,80,13,24,9.2,2,61,0,11,18,7,1.23,6,5,+1,+0.29,+0.49,6.5,4.3,+2.2,+0.63,+1.05,4,2,6,1,0,9,4,11,26.7
Chelsea,Carney Chukwuemeka,eng ENG,"MF,FW",19,9,2,227.0,1,1,0,2,0,0.2,0.2,0.3,4,12,19,0.40,0.40,0.79,0.40,0.79,0.06,0.13,0.19,0.06,0.19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.5,1,3,2,66.7,1.19,0.79,0.33,0.50,19.9,0,0,0,0.05,+0.8,+0.8,115,134,85.8,1476,266,82,88,93.2,26,31,83.9,4,5,80.0,1,0.3,0.3,+0.7,4,4,6,0,12,134,134,0,0,2,0,1,0,0,0,0,0,115,0,4,9,3.57,7,0,1,1,0,0,4,1.59,2,0,1,1,0,0,6,4,3,3,0,1,3,33.3,2,1,1,0,0,6,1,0,167,1,21,77,72,12,167,12,2,16.7,10,83.3,107,646,231,4,5,2,5,4,129,19,25,6.6,2,63,0,7,15,4,1.56,7,5,+2,+0.79,+0.45,5.4,4.6,+0.8,+0.32,-0.13,3,2,0,1,0,11,1,3,25.0
Manchester United,Casemiro,br BRA,"MF,DF",31,25,24,1982.0,2,1,0,7,0,3.5,3.5,1.0,12,112,36,0.05,0.09,0.14,0.05,0.14,0.16,0.05,0.20,0.16,0.20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,22.0,1,39,9,23.1,1.77,0.41,0.03,0.11,17.1,1,0,0,0.09,-2.5,-2.5,1165,1425,81.8,20136,7677,536,596,89.9,489,568,86.1,105,187,56.1,2,1.0,1.2,+1.0,16,124,18,3,112,1425,1385,34,28,4,6,13,0,0,0,0,0,1165,6,18,41,1.86,35,2,0,3,1,0,4,0.18,4,0,0,0,0,0,83,56,43,32,8,51,106,48.1,55,74,33,41,18,101,71,1,1762,169,646,884,245,45,1762,18,9,50.0,8,44.4,984,3576,1729,12,22,1,15,17,1163,36,79,58.0,24,82,18,1,11,1,1.60,36,34,+2,+0.09,+0.28,33.2,40.3,-7.2,-0.33,0.00,30,10,6,13,0,133,42,22,65.6
Leicester City,Cesare Casadei,it ITA,MF,20,22,8,883.0,0,2,0,1,0,2.9,2.9,0.7,15,49,53,0.20,0.00,0.20,0.20,0.20,0.30,0.07,0.37,0.30,0.37,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9.8,2,20,7,35.0,2.04,0.71,0.10,0.29,15.2,0,0,0,0.15,-0.9,-0.9,342,418,81.8,5101,1085,184,206,89.3,143,173,82.7,9,20,45.0,0,0.7,0.3,-0.7,12,44,4,0,49,418,415,2,2,0,0,6,0,0,0,0,0,342,1,6,29,2.96,24,0,2,2,1,0,2,0.20,2,0,0,0,0,0,17,12,9,7,1,8,18,44.4,10,9,2,7,8,25,12,0,522,16,101,271,154,27,522,19,10,52.6,8,42.1,278,1442,623,15,12,3,13,14,391,53,40,21.3,8,76,3,14,20,3,2.41,20,8,+12,+1.22,+0.23,17.2,10.2,+7.0,+0.71,-0.26,15,18,0,6,0,36,27,13,67.5
Southampton,Che Adams,sct SCO,FW,27,40,25,2289.0,4,16,0,5,0,13.6,13.6,3.6,21,88,150,0.63,0.16,0.79,0.63,0.79,0.53,0.14,0.68,0.53,0.68,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25.4,16,80,31,38.8,3.15,1.22,0.20,0.52,16.4,0,0,0,0.17,+2.4,+2.4,516,678,76.1,8988,1974,238,279,85.3,193,242,79.8,65,88,73.9,4,3.6,3.5,+0.4,31,50,24,0,88,678,633,36,8,10,10,7,9,0,0,0,0,516,9,25,66,2.59,53,0,1,10,2,0,11,0.43,9,0,0,2,0,0,19,15,3,9,7,8,12,66.7,4,18,7,11,5,24,11,0,921,18,70,470,393,126,921,34,19,55.9,12,35.3,575,2126,737,21,16,9,58,20,747,150,57,55.3,25,74,3,15,29,2,1.83,52,36,+16,+0.63,+0.24,46.9,28.7,+18.2,+0.71,+0.10,35,44,18,7,0,60,20,29,40.8
Crystal Palace,Cheick Doucouré,ml MLI,MF,23,11,11,919.0,0,0,0,2,0,0.3,0.3,0.7,9,49,5,0.00,0.00,0.00,0.00,0.00,0.03,0.07,0.10,0.03,0.10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10.2,0,6,2,33.3,0.59,0.20,0.00,0.00,21.6,0,0,0,0.05,-0.3,-0.3,367,422,87.0,5725,1849,200,222,90.1,146,165,88.5,18,24,75.0,0,0.7,0.8,-0.7,10,39,5,0,49,422,418,4,4,5,0,1,0,0,0,0,0,367,0,7,23,2.25,19,0,1,2,0,1,3,0.29,3,0,0,0,0,0,34,17,15,13,6,18,30,60.0,12,13,2,11,20,54,12,0,545,25,145,312,97,7,545,13,10,76.9,3,23.1,276,1153,579,9,9,1,16,8,318,5,84,26.9,11,84,8,0,,1,1.27,9,12,-3,-0.29,-0.37,11.1,13.1,-2.0,-0.19,-0.14,10,1,0,1,0,74,5,9,35.7
Nottingham Forest,Cheikhou Kouyaté,sn SEN,MF,33,12,2,212.0,0,0,0,2,0,0.3,0.3,0.0,0,5,5,0.00,0.00,0.00,0.00,0.00,0.12,0.02,0.14,0.12,0.14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.4,0,5,1,20.0,2.12,0.42,0.00,0.00,19.8,0,0,0,0.06,-0.3,-0.3,47,74,63.5,604,159,32,43,74.4,11,19,57.9,1,2,50.0,0,0.0,0.0,0.0,1,3,0,0,5,74,73,0,0,0,0,0,0,0,0,0,0,47,1,1,8,3.40,5,0,0,2,0,1,1,0.42,1,0,0,0,0,0,8,5,3,3,2,1,4,25.0,3,4,1,3,2,10,10,0,108,10,30,49,29,5,108,2,1,50.0,1,50.0,37,112,46,0,1,0,3,3,48,5,18,6.2,2,64,0,10,8,18,1.33,1,6,-5,-2.12,-1.76,1.4,5.9,-4.5,-1.91,-1.95,6,2,0,0,0,14,10,10,50.0
Bournemouth,Chris Mepham,wls WAL,DF,25,10,6,617.0,1,0,0,2,0,0.1,0.1,0.4,4,25,1,0.00,0.15,0.15,0.00,0.15,0.01,0.06,0.07,0.01,0.07,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.9,0,1,1,100.0,0.15,0.15,0.00,0.00,8.8,0,0,0,0.09,-0.1,-0.1,296,359,82.5,5965,1994,96,115,83.5,163,184,88.6,35,55,63.6,1,0.4,0.5,+0.6,3,34,4,0,25,359,350,8,5,0,1,1,3,0,0,0,0,296,1,1,11,1.60,8,1,0,0,0,2,2,0.29,2,0,0,0,0,0,12,11,9,3,0,9,14,64.3,5,13,6,7,7,19,30,1,434,48,182,227,25,6,434,0,0,,0,,235,1304,736,4,4,0,2,2,242,1,62,18.0,6,83,5,4,31,14,1.60,13,16,-3,-0.44,-0.12,11.9,9.7,+2.3,+0.33,+0.47,15,2,0,1,0,31,29,20,59.2
Crystal Palace,Chris Richards,us USA,"DF,MF",23,26,23,2094.0,1,1,0,3,0,0.6,0.6,0.4,1,43,1,0.04,0.04,0.09,0.04,0.09,0.03,0.02,0.04,0.03,0.04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23.3,1,11,3,27.3,0.47,0.13,0.09,0.33,10.0,0,0,0,0.05,+0.4,+0.4,778,942,82.6,13337,4341,362,413,87.7,341,389,87.7,58,100,58.0,1,0.4,0.2,+0.6,6,41,2,0,43,942,902,37,18,1,5,1,14,0,0,0,0,778,3,15,16,0.69,11,0,0,2,0,3,3,0.13,3,0,0,0,0,0,46,28,21,22,3,20,30,66.7,10,32,12,20,27,73,109,0,1195,157,557,568,77,21,1195,1,1,100.0,0,0.0,574,2313,890,1,6,0,7,4,678,1,81,61.2,23,90,23,3,8,9,1.46,43,38,+5,+0.21,+0.62,31.1,32.5,-1.3,-0.06,+0.08,12,7,1,1,0,88,61,44,58.1
Nottingham Forest,Chris Wood,nz NZL,FW,31,31,20,1812.0,1,14,0,0,0,11.9,11.9,2.1,16,30,76,0.70,0.05,0.75,0.70,0.75,0.59,0.10,0.70,0.59,0.70,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20.1,14,48,26,54.2,2.38,1.29,0.29,0.54,10.2,0,0,0,0.25,+2.1,+2.1,278,433,64.2,3415,784,178,260,68.5,70,108,64.8,7,11,63.6,1,2.1,1.1,-1.1,22,19,3,0,30,433,428,5,0,1,1,2,0,0,0,0,0,278,0,12,44,2.19,33,0,4,7,0,0,4,0.20,1,0,3,0,0,0,7,4,1,4,2,3,9,33.3,6,11,3,8,1,8,26,0,628,34,80,311,237,92,628,17,6,35.3,9,52.9,295,949,477,16,10,7,50,21,467,76,58,53.0,20,83,13,11,14,0,0.94,28,34,-6,-0.30,+0.37,29.5,26.5,+3.0,+0.15,+0.50,22,13,7,2,0,46,72,96,42.9
Manchester United,Christian Eriksen,dk DEN,MF,31,22,12,1141.0,2,1,0,1,0,1.0,1.0,2.3,20,68,23,0.08,0.16,0.24,0.08,0.24,0.08,0.18,0.26,0.08,0.26,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12.7,1,13,4,30.8,1.03,0.32,0.08,0.25,22.0,2,0,0,0.08,0.0,0.0,648,805,80.5,10504,2702,340,384,88.5,229,277,82.7,55,98,56.1,2,2.3,2.3,-0.3,27,66,17,3,68,805,745,55,25,5,9,43,3,26,12,8,2,648,5,13,46,3.63,36,8,0,0,0,2,3,0.24,2,0,0,0,0,1,18,13,5,10,3,12,33,36.4,21,17,6,11,4,22,13,0,896,27,165,492,246,12,896,6,3,50.0,3,50.0,515,2319,1199,20,21,2,8,14,620,23,52,33.4,12,78,5,10,20,11,1.45,20,27,-7,-0.55,-0.79,19.2,20.1,-0.9,-0.07,+0.39,7,3,1,43,0,86,1,7,12.5
Brentford,Christian Nørgaard,dk DEN,MF,29,31,30,2505.0,1,2,0,8,0,3.5,3.5,1.9,15,161,42,0.07,0.04,0.11,0.07,0.11,0.12,0.07,0.19,0.12,0.19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,27.8,2,35,7,20.0,1.26,0.25,0.06,0.29,14.4,0,0,0,0.10,-1.5,-1.5,1199,1501,79.9,19114,6144,639,725,88.1,458,559,81.9,78,146,53.4,1,1.9,2.4,-0.9,24,113,26,4,161,1501,1422,73,23,8,8,22,32,1,0,0,0,1199,6,16,63,2.26,48,8,0,3,2,2,3,0.11,3,0,0,0,0,0,81,50,42,31,8,32,87,36.8,55,48,6,42,54,135,50,0,1846,99,522,944,388,57,1846,11,6,54.5,4,36.4,873,3367,1633,15,27,3,21,15,1089,42,81,73.2,30,83,20,1,20,0,0.97,36,51,-15,-0.54,-1.13,40.4,43.3,-3.0,-0.11,-0.62,41,32,1,22,0,216,40,46,46.5
Chelsea,Christopher Nkunku,fr FRA,"FW,MF",25,11,2,443.0,0,3,0,0,0,2.3,2.3,0.2,10,19,35,0.61,0.00,0.61,0.61,0.61,0.47,0.05,0.52,0.47,0.52,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.9,3,16,7,43.8,3.25,1.42,0.19,0.43,11.4,0,0,0,0.14,+0.7,+0.7,159,183,86.9,2048,567,101,109,92.7,39,43,90.7,4,10,40.0,0,0.2,0.5,-0.2,3,14,7,0,19,183,166,16,0,3,1,4,1,3,1,0,0,159,1,5,13,2.65,10,0,1,1,1,0,1,0.20,1,0,0,0,0,0,5,4,0,4,1,1,2,50.0,1,4,1,3,2,7,4,0,244,5,25,95,128,27,244,8,2,25.0,5,62.5,144,606,298,10,6,2,17,8,202,35,40,13.0,2,71,0,9,34,1,2.00,12,12,0,0.00,-0.42,9.7,8.4,+1.3,+0.26,-0.19,8,7,3,4,0,12,10,6,62.5
Aston Villa,Clément Lenglet,fr FRA,DF,28,14,14,1153.0,1,0,0,3,0,0.9,0.9,0.8,26,51,1,0.00,0.08,0.08,0.00,0.08,0.07,0.06,0.13,0.07,0.13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12.8,0,8,2,25.0,0.62,0.16,0.00,0.00,10.5,0,0,0,0.11,-0.9,-0.9,822,918,89.5,15524,5173,302,319,94.7,431,457,94.3,82,127,64.6,1,0.8,0.5,+0.2,2,34,3,0,51,918,859,58,40,0,8,3,4,0,0,0,0,822,1,3,15,1.17,11,1,0,3,0,0,1,0.08,1,0,0,0,0,0,13,9,7,5,1,7,13,53.8,6,19,11,8,7,20,47,1,1017,165,514,449,59,12,1017,8,3,37.5,2,25.0,727,4422,2819,26,18,0,3,3,786,1,82,33.7,14,82,11,0,,20,1.29,22,27,-5,-0.39,-1.18,20.4,23.4,-3.0,-0.23,-0.49,3,12,0,3,0,37,15,11,57.7
Liverpool,Cody Gakpo,nl NED,"FW,MF",24,35,17,1649.0,5,8,0,1,0,9.0,9.0,2.9,43,83,130,0.44,0.27,0.71,0.44,0.71,0.49,0.16,0.64,0.49,0.64,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18.3,8,66,24,36.4,3.60,1.31,0.12,0.33,15.4,0,0,0,0.14,-1.0,-1.0,436,564,77.3,6130,1738,266,315,84.4,136,183,74.3,18,24,75.0,5,2.9,2.7,+2.1,25,43,32,5,83,564,547,15,5,1,2,21,6,0,0,0,0,436,2,15,73,3.98,47,1,6,12,5,2,10,0.55,6,0,1,2,1,0,27,17,8,14,5,8,25,32.0,17,21,4,17,14,41,7,0,809,15,77,335,412,107,809,54,31,57.4,17,31.5,549,3003,1472,43,31,13,44,32,618,130,47,48.2,17,73,3,18,23,0,2.23,52,20,+32,+1.75,+1.09,46.4,23.8,+22.6,+1.23,+0.24,28,38,8,21,0,81,32,27,54.2
Chelsea,Cole Palmer,eng ENG,"FW,MF",21,33,29,2607.0,11,13,9,7,0,18.2,11.1,11.1,117,197,195,0.76,0.38,1.14,0.45,0.83,0.63,0.38,1.01,0.38,0.77,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,29.0,22,100,37,37.0,3.45,1.28,0.13,0.35,22.1,11,9,9,0.11,+3.8,+1.9,1121,1415,79.2,18622,5642,574,636,90.3,407,479,85.0,101,186,54.3,11,11.1,8.7,-0.1,72,136,69,5,197,1415,1294,111,23,27,14,81,22,55,24,12,0,1121,10,37,162,5.59,116,12,14,10,5,5,26,0.90,20,0,1,2,1,2,23,12,9,6,8,8,19,42.1,11,20,2,18,20,43,13,2,1754,22,183,742,852,126,1745,104,52,50.0,46,44.2,1148,7236,3492,117,66,46,57,44,1362,195,79,76.2,29,86,14,4,26,0,1.70,66,46,+20,+0.69,+1.35,58.5,45.1,+13.4,+0.46,+0.13,23,26,6,81,0,105,1,4,20.0
Liverpool,Conor Bradley,nir NIR,DF,20,11,10,753.0,3,1,0,2,0,0.9,0.9,1.5,35,29,64,0.12,0.36,0.48,0.12,0.48,0.10,0.17,0.28,0.10,0.28,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8.4,1,12,4,33.3,1.43,0.48,0.08,0.25,17.3,0,0,0,0.07,+0.1,+0.1,419,530,79.1,6224,1849,238,275,86.5,149,190,78.4,20,35,57.1,3,1.5,1.2,+1.5,15,27,13,3,29,530,445,85,10,3,1,18,75,0,0,0,0,419,0,16,27,3.22,18,1,3,2,1,2,3,0.36,2,1,0,0,0,0,33,25,14,12,7,24,38,63.2,14,17,1,16,10,43,14,0,661,14,140,289,243,38,661,30,13,43.3,14,46.7,373,2144,1085,35,29,12,17,10,388,64,68,22.0,10,73,2,1,20,8,2.36,18,7,+11,+1.31,+0.17,18.7,7.3,+11.3,+1.35,+0.32,8,12,2,18,1,50,11,5,68.8
Ipswich Town,Conor Chaplin,eng ENG,MF,26,44,42,3340.0,8,13,0,7,0,12.0,12.0,5.4,42,207,186,0.35,0.22,0.57,0.35,0.57,0.32,0.15,0.47,0.32,0.47,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,37.1,13,138,40,29.0,3.72,1.08,0.09,0.33,18.7,5,0,0,0.09,+1.0,+1.0,886,1235,71.7,15234,4839,415,516,80.4,341,443,77.0,91,166,54.8,8,5.4,5.2,+2.6,53,136,52,5,207,1235,1131,94,8,17,12,22,12,0,0,0,0,886,10,43,136,3.67,105,3,3,17,6,2,15,0.40,13,0,0,2,0,0,37,22,12,20,5,17,51,33.3,34,24,0,24,27,64,35,0,1627,29,187,815,632,147,1627,37,15,40.5,17,45.9,830,3814,1559,42,29,12,61,30,1115,186,76,80.7,42,78,7,2,26,1,2.05,65,45,+20,+0.54,-1.15,54.7,35.1,+19.6,+0.53,-0.34,30,47,8,22,0,137,17,41,29.3
Leicester City,Conor Coady,eng ENG,DF,30,12,8,700.0,0,0,0,1,0,0.0,0.0,0.0,6,56,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.8,0,0,0,,0.00,0.00,,,,0,0,0,,0.0,0.0,661,709,93.2,11735,4323,264,272,97.1,360,376,95.7,36,57,63.2,0,0.0,0.4,0.0,1,56,2,1,56,709,675,33,11,2,5,2,1,0,0,0,0,661,1,1,7,0.90,7,0,0,0,0,0,1,0.13,1,0,0,0,0,0,6,3,2,4,0,3,4,75.0,1,7,6,1,7,13,25,1,764,75,279,468,18,0,764,2,2,100.0,0,0.0,477,2344,1365,6,4,0,3,0,603,5,58,16.9,8,86,7,4,3,29,2.67,15,5,+10,+1.29,+0.29,13.5,6.8,+6.7,+0.86,-0.07,6,3,0,2,0,28,14,7,66.7
Chelsea,Conor Gallagher,eng ENG,MF,23,37,37,3128.0,7,5,0,9,1,4.2,4.2,5.0,62,172,122,0.14,0.20,0.35,0.14,0.35,0.12,0.15,0.27,0.12,0.27,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,34.8,5,48,17,35.4,1.38,0.49,0.10,0.29,20.4,0,0,0,0.09,+0.8,+0.8,1801,2018,89.2,26732,5954,1054,1116,94.4,598,654,91.4,95,146,65.1,7,5.0,3.5,+2.0,52,135,32,4,172,2018,1889,122,50,5,7,64,17,45,15,12,2,1801,7,29,109,3.14,78,15,5,4,1,6,14,0.40,7,5,0,1,0,1,85,52,37,31,17,33,77,42.9,44,50,11,39,43,128,34,0,2443,77,468,1221,793,79,2443,65,38,58.5,18,27.7,1453,7243,2979,62,54,14,69,39,1739,122,85,91.5,37,85,28,0,,0,1.70,69,55,+14,+0.40,+0.40,67.8,49.8,+18.0,+0.52,+0.99,83,64,1,64,0,221,25,28,47.2
