Info,Info,Info,Info,Info,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,Expected,Expected,,,,,,,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,,,,,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
Team,Player,Nation,Pos,Age,MP,Starts,Min,Ast,G-PK,PK,CrdY,CrdR,xG,npxG,xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Mn/MP,Min%,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Fls,Fld,Off,Crs,OG,Recov,Won,Lost,Won%
Brighton and Hove Albion,Adam Webster,eng ENG,DF,28,15,13,1144.0,0,0,0,2,0,0.4,0.4,0.1,16,80,2,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.05,0.03,0.05,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12.7,0,8,0,0.0,0.63,0.00,0.00,,9.9,0,0,0,0.05,-0.4,-0.4,997,1096,91.0,16938,5838,428,462,92.6,495,529,93.6,56,79,70.9,0,0.1,0.3,-0.1,5,92,4,0,80,1096,1063,31,23,1,4,1,7,0,0,0,0,997,2,2,14,1.10,13,0,0,1,0,0,0,0.00,0,0,0,0,0,0,14,12,8,5,1,6,18,33.3,12,16,12,4,16,30,43,1,1201,106,495,625,86,14,1201,2,0,0.0,2,100.0,814,4073,2357,16,16,0,5,2,903,2,76,33.5,13,85,11,2,18,12,1.13,16,22,-6,-0.47,-0.43,21.9,17.5,+4.5,+0.35,+0.47,9,3,0,1,1,63,33,13,71.7
Crystal Palace,Adam Wharton,eng ENG,MF,19,16,15,1297.0,3,0,0,2,0,0.3,0.3,2.4,14,79,10,0.00,0.21,0.21,0.00,0.21,0.02,0.17,0.19,0.02,0.19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14.4,0,10,1,10.0,0.69,0.07,0.00,0.00,24.2,0,0,0,0.03,-0.3,-0.3,464,596,77.9,8091,2486,209,244,85.7,199,234,85.0,45,80,56.3,3,2.4,1.5,+0.6,21,51,16,3,79,596,553,34,13,3,2,25,0,15,7,4,0,464,9,11,37,2.57,30,7,0,0,0,0,5,0.35,5,0,0,0,0,0,48,32,18,22,8,23,46,50.0,23,17,3,14,20,68,24,1,742,29,143,426,183,4,742,7,3,42.9,2,28.6,346,1441,723,14,23,0,12,12,449,10,81,37.9,15,82,6,1,63,0,1.56,27,16,+11,+0.76,+1.27,19.9,17.6,+2.3,+0.16,+0.40,18,21,0,25,0,76,7,12,36.8
Fulham,Adama Traoré,es ESP,"FW,MF",27,17,1,377.0,3,2,0,2,0,1.5,1.5,0.7,29,16,48,0.48,0.72,1.19,0.48,1.19,0.36,0.17,0.53,0.36,0.53,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.2,2,11,7,63.6,2.63,1.67,0.18,0.29,16.0,0,0,0,0.14,+0.5,+0.5,97,139,69.8,1487,457,52,62,83.9,38,52,73.1,5,12,41.7,3,0.7,0.9,+2.3,7,3,9,4,16,139,137,2,0,0,1,26,2,0,0,0,0,97,0,7,14,3.34,12,0,1,1,0,0,5,1.19,4,0,1,0,0,0,4,3,1,2,1,3,6,50.0,3,2,0,2,1,5,2,0,194,4,28,51,118,24,194,17,9,52.9,6,35.3,134,1227,676,29,13,13,13,9,154,48,22,11.0,1,78,0,16,19,2,1.06,11,13,-2,-0.48,-0.36,6.8,11.9,-5.1,-1.21,-1.00,5,4,0,26,0,13,9,6,60.0
Manchester United,Alejandro Garnacho,ar ARG,FW,19,36,30,2565.0,4,7,0,4,0,8.4,8.3,5.1,178,62,281,0.25,0.14,0.39,0.25,0.39,0.29,0.18,0.47,0.29,0.47,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28.5,7,100,27,27.0,3.51,0.95,0.07,0.26,15.8,0,0,0,0.08,-1.4,-1.3,675,901,74.9,9269,1365,422,506,83.4,189,233,81.1,34,63,54.0,4,5.1,2.9,-1.1,46,26,22,4,62,901,885,13,3,2,4,58,6,4,2,0,0,675,3,50,119,4.17,80,0,13,13,12,1,15,0.53,10,0,1,1,2,1,22,15,7,6,9,12,45,26.7,33,26,2,24,18,40,18,0,1312,13,180,403,741,248,1312,131,48,36.6,63,48.1,938,8015,4211,178,83,102,69,49,1006,281,71,75.0,30,82,12,6,19,2,1.50,44,39,+5,+0.18,+0.81,42.0,50.8,-8.8,-0.31,+0.07,20,54,15,58,0,106,6,25,19.4
Fulham,Alex Iwobi,ng NGA,"FW,MF",27,30,25,2192.0,2,5,0,2,0,5.3,5.3,4.7,109,147,175,0.21,0.08,0.29,0.21,0.29,0.22,0.19,0.41,0.22,0.41,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24.4,5,51,18,35.3,2.09,0.74,0.10,0.28,18.5,0,0,0,0.10,-0.3,-0.3,821,1051,78.1,13556,4268,400,451,88.7,325,403,80.6,66,118,55.9,2,4.7,4.0,-2.7,49,84,46,8,147,1051,1029,21,1,6,7,60,8,1,0,0,0,821,1,32,103,4.23,87,0,6,9,0,1,10,0.41,8,0,0,2,0,0,29,18,12,15,2,12,25,48.0,13,16,0,16,14,43,9,0,1282,19,190,585,537,81,1282,72,37,51.4,32,44.4,866,5856,2979,109,80,27,50,28,1004,175,73,64.1,25,81,9,5,34,0,1.27,38,38,0,0.00,+0.44,34.7,33.9,+0.7,+0.03,+0.97,12,5,5,60,0,145,6,19,24.0
Everton,Alex Iwobi,ng NGA,MF,27,2,2,140.0,0,0,0,0,0,0.3,0.3,0.2,6,4,8,0.00,0.00,0.00,0.00,0.00,0.21,0.14,0.35,0.21,0.35,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.6,0,4,2,50.0,2.57,1.29,0.00,0.00,16.2,0,0,0,0.08,-0.3,-0.3,27,42,64.3,545,179,13,14,92.9,7,10,70.0,7,15,46.7,0,0.2,0.4,-0.2,4,1,3,1,4,42,34,7,0,0,0,10,1,6,4,2,0,27,1,2,12,7.77,6,1,2,3,0,0,0,0.00,0,0,0,0,0,0,2,0,1,0,1,2,3,66.7,1,2,0,2,1,3,0,0,58,0,5,17,38,3,58,4,3,75.0,1,25.0,33,316,221,6,5,2,3,1,34,8,70,4.1,2,70,1,0,,0,0.00,0,3,-3,-1.93,-1.71,2.9,3.3,-0.3,-0.21,-0.18,0,0,3,10,0,5,0,0,
Southampton,Alex McCarthy,eng ENG,GK,33,5,5,450.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9,1.80,26,17,65.4,2,0,3,1,20.0,0,0,0,0,,5.0,0,0,0,,0.00,0.00,,,,0,0,0,,0.0,0.0,143,177,80.8,2749,1731,58,59,98.3,64,66,97.0,19,50,38.0,0,0.0,0.0,0.0,0,1,0,0,0,177,154,23,5,0,0,0,0,0,0,0,0,143,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,0,190,152,188,2,0,0,190,0,0,,0,,120,433,264,0,0,0,0,0,123,0,90,10.9,5,90,5,0,,15,1.63,6,9,-3,-0.60,-1.26,8.0,6.6,+1.4,+0.27,-0.45,0,0,0,0,0,2,0,0,
Bournemouth,Alex Scott,eng ENG,MF,19,23,11,1014.0,1,1,0,3,0,0.7,0.7,1.7,24,50,35,0.09,0.09,0.18,0.09,0.18,0.06,0.15,0.22,0.06,0.22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11.3,1,15,3,20.0,1.33,0.27,0.07,0.33,22.8,2,0,0,0.05,+0.3,+0.3,361,474,76.2,5733,1583,186,227,81.9,138,161,85.7,25,60,41.7,1,1.7,1.1,-0.7,22,22,15,2,50,474,429,43,10,2,4,36,4,26,22,1,0,361,2,10,44,3.91,32,5,2,2,2,1,3,0.27,2,0,1,0,0,0,24,15,8,10,6,12,28,42.9,16,14,4,10,12,36,18,2,612,33,120,295,217,29,612,37,13,35.1,20,54.1,330,2166,1129,24,21,10,17,11,361,35,44,29.6,11,66,2,12,24,2,1.22,17,25,-8,-0.71,-0.52,17.3,17.0,+0.3,+0.02,+0.11,20,25,1,36,0,63,14,22,38.9
Newcastle United,Alexander Isak,se SWE,FW,23,30,27,2255.0,2,16,5,1,0,20.3,15.6,3.7,68,71,129,0.84,0.08,0.92,0.64,0.72,0.81,0.15,0.96,0.62,0.77,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25.1,21,72,36,50.0,2.87,1.44,0.22,0.44,14.5,1,5,6,0.22,+0.7,+0.4,385,493,78.1,5446,1167,237,280,84.6,117,142,82.4,15,22,68.2,2,3.7,2.8,-1.7,27,28,21,0,71,493,428,62,0,5,2,10,6,1,0,0,0,385,3,21,72,2.87,45,0,12,11,4,0,10,0.40,4,0,3,2,1,0,5,0,2,1,2,2,8,25.0,6,16,1,15,6,11,13,0,725,19,46,299,387,139,720,74,42,56.8,28,37.8,421,3052,1613,68,31,38,49,23,511,129,75,65.9,27,80,13,3,32,1,1.50,51,41,+10,+0.40,-0.61,51.2,43.1,+8.1,+0.32,-0.19,14,15,17,10,0,38,10,39,20.4
Liverpool,Alexis Mac Allister,ar ARG,MF,24,33,31,2599.0,5,4,1,7,1,3.7,2.9,3.6,44,209,48,0.17,0.17,0.35,0.14,0.31,0.13,0.12,0.25,0.10,0.22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28.9,5,43,8,18.6,1.49,0.28,0.09,0.50,23.3,2,1,1,0.07,+1.3,+1.1,1704,1967,86.6,26565,7659,884,970,91.1,656,722,90.9,100,161,62.1,5,3.6,4.9,+1.4,47,162,41,2,209,1967,1900,61,38,14,11,32,2,11,2,9,0,1704,6,32,108,3.74,92,5,3,1,5,2,12,0.42,10,1,1,0,0,0,99,55,35,50,14,59,125,47.2,66,65,8,57,35,134,25,1,2313,73,392,1382,560,32,2312,34,18,52.9,12,35.3,1346,5738,3006,44,45,4,30,35,1626,48,79,76.0,31,83,17,2,17,0,2.15,62,34,+28,+0.97,-0.89,66.1,34.9,+31.2,+1.08,-0.11,53,47,0,32,0,195,31,28,52.5
